Titre,Prix,Ville,Surface,Chambres,Salle_de_bain,Etage,Lien,Quartier,Prix_m2,Total_pieces,Is_centre,Is_outlier
Studio à louer 50 m² à Val d'Anfa,7500,Casablanca,50,1,1,2.0,https://www.avito.ma/fr/val_d_anfa/appartements/Studio_%C3%A0_louer_50_m%C2%B2_%C3%A0_Val_d_Anfa_57634457.htm, Val d'Anfa,150.0,2,False,False
Appartement à louer 100 m² à Temara,6000,Temara,100,3,2,3.0,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Temara_57559114.htm, Wifak,60.0,5,False,False
Studio meublé neuf en location à bd anoual,6500,Casablanca,44,1,1,3.0,https://www.avito.ma/fr/2_mars/appartements/Studio_meubl%C3%A9_neuf_en_location_%C3%A0_bd_anoual_56942546.htm, 2 Mars,147.72727272727272,2,False,False
Studio Neuf meublé de Luxe à OASIS,8000,Casablanca,53,1,1,1.0,https://www.avito.ma/fr/oasis/appartements/Studio_Neuf_meubl%C3%A9_de_Luxe_%C3%A0_OASIS_57872489.htm, Oasis,150.9433962264151,2,False,False
Appartement Meublé Neuf avec terrasse à Maarif,10000,Casablanca,118,2,2,4.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_Meubl%C3%A9_Neuf_avec_terrasse_%C3%A0_Maarif_57872982.htm, Maârif Extension,84.7457627118644,4,False,False
Appartement à louer 185m² à Kénitra,10000,Kénitra,190,3,2,1.0,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_louer_185m%C2%B2_%C3%A0_K%C3%A9nitra_56276265.htm, Mimosas,52.63157894736842,5,False,True
Appartement meublé haut standing proche de CFC,8500,Casablanca,85,2,2,2.0,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_meubl%C3%A9_haut_standing_proche_de_CFC_57871672.htm, Beauséjour,100.0,4,False,False
Appartement à louer,50000,Marrakech,56,2,1,1.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_louer_57293627.htm, Route de Casablanca,892.8571428571429,3,False,True
Appartement meublé - Maamoura - Salé El Jadida,5500,Salé,84,2,2,1.0,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_meubl%C3%A9___Maamoura___Sal%C3%A9_El_Jadida_57428731.htm, Sala El Jadida,65.47619047619048,4,False,False
À louer bel appartement meublé à Agadir,7000,Agadir,85,2,1,1.0,https://www.avito.ma/fr/le_centre_ville/appartements/%C3%80_louer_bel_appartement_meubl%C3%A9_%C3%A0_Agadir_57581997.htm, Le centre-ville,82.3529411764706,3,True,False
Appartement meublé à loué sur l'Agdal,20000,Rabat,160,3,3,2.0,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_lou%C3%A9_sur_l_Agdal_57205525.htm, Agdal,125.0,6,False,True
Studio LUX à louer meublé neuf à Gauthier,9000,Casablanca,66,1,2,3.0,https://www.avito.ma/fr/gauthier/appartements/Studio_LUX_%C3%A0_louer_meubl%C3%A9_neuf_%C3%A0_Gauthier_57746441.htm, Gauthier,136.36363636363637,3,False,False
Très joli appartement à louer,7000,Casablanca,95,2,2,3.0,https://www.avito.ma/fr/abdelmoumen/appartements/Tr%C3%A8s_joli_appartement_%C3%A0_louer_57854538.htm, Abdelmoumen,73.6842105263158,4,False,False
Studio meublé avec salon et terrasse à louer Mers Sultan,5200,Casablanca,55,1,1,3.0,https://www.avito.ma/fr/mers_sultan/appartements/Studio_meubl%C3%A9_avec_salon_et_terrasse_%C3%A0_louer_Mers_Sultan_57849539.htm, Mers Sultan,94.54545454545455,2,False,False
