Titre,Prix,Ville,Surface,Chambres,Salle_de_bain,Etage,Lien,Quartier,Prix_m2,Total_pieces,Is_centre,Is_outlier
Appartement meublé haut standing proche de CFC,8500,Casablanca,85,2,2,2.0,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_meubl%C3%A9_haut_standing_proche_de_CFC_57871672.htm, Beauséjour,100.0,4,False,False
Studio à louer 50 m² à Val d'Anfa,7500,Casablanca,50,1,1,2.0,https://www.avito.ma/fr/val_d_anfa/appartements/Studio_%C3%A0_louer_50_m%C2%B2_%C3%A0_Val_d_Anfa_57634457.htm, Val d'Anfa,150.0,2,False,False
Dernières unités. Apt neufs à louer pour médecins,9000,Temara,100,3,2,1.0,https://www.avito.ma/fr/wifak/appartements/Derni%C3%A8res_unit%C3%A9s__Apt_neufs_%C3%A0_louer_pour_m%C3%A9decins_56028844.htm, Wifak,90.0,5,False,False
Appartement à louer sur Hay Riad Prestigia,10500,Rabat,100,2,2,2.0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_sur_Hay_Riad_Prestigia_57651648.htm, Hay Riad,105.0,4,False,False
Studio meublé à louer à quartier des hôpitaux,6000,Casablanca,50,1,1,0.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_meubl%C3%A9_%C3%A0_louer_%C3%A0_quartier_des_h%C3%B4pitaux_57635313.htm, Quartier des Hôpitaux,120.0,2,False,False
Appartement Meublé de 3 ch sur Abdelmoumen,12000,Casablanca,148,3,2,3.0,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_Meubl%C3%A9_de_3_ch_sur_Abdelmoumen_57527064.htm, Abdelmoumen,81.08108108108108,5,False,False
Bel appart haut standing à Californie,8000,Casablanca,160,3,2,4.0,https://www.avito.ma/fr/californie/appartements/Bel_appart_haut_standing_%C3%A0_Californie_56151985.htm, Californie,50.0,5,False,False
Appartement 4 ch sur blv Anfa,17500,Casablanca,262,4,3,2.0,https://www.avito.ma/fr/anfa/appartements/Appartement_4_ch_sur_blv_Anfa_57799953.htm, Anfa,66.79389312977099,7,False,True
Rez-de-jardin à louer – Palmeraie,15000,Bouskoura,411,2,3,0.0,https://www.avito.ma/fr/ville_verte/appartements/Rez_de_jardin_%C3%A0_louer___Palmeraie_57874458.htm, Ville verte,36.496350364963504,5,False,True
À louer Appartements neufs à Sidi Maarouf,6000,Casablanca,64,2,1,0.0,https://www.avito.ma/fr/sidi_maarouf/appartements/%C3%80_louer_Appartements_neufs_%C3%A0_Sidi_Maarouf_57799319.htm, Sidi Maarouf,93.75,3,False,False
À oasis studio meublé très joliment de 60m²,8000,Casablanca,60,1,1,1.0,https://www.avito.ma/fr/oasis/appartements/%C3%80_oasis_studio_meubl%C3%A9_tr%C3%A8s_joliment_de_60m%C2%B2_57768534.htm, Oasis,133.33333333333334,2,False,False
Superbe appartement meublé à louer - La Gironde,6500,Casablanca,88,2,1,2.0,https://www.avito.ma/fr/la_gironde/appartements/Superbe_appartement_meubl%C3%A9_%C3%A0_louer___La_Gironde_57778904.htm, La Gironde,73.86363636363636,3,False,False
Appartement meublé à louer – Emile Zola,6500,Casablanca,75,2,1,0.0,https://www.avito.ma/fr/roches_noires/appartements/Appartement_meubl%C3%A9_%C3%A0_louer___Emile_Zola_57749761.htm, Roches Noires,86.66666666666667,3,False,False
Appartement vide CFC,8500,Casablanca,110,2,2,2.0,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_vide_CFC_56342963.htm, Casablanca Finance City,77.27272727272727,4,False,False
Appartement à louer 90 m² à Casablanca,6500,Casablanca,90,3,2,1.0,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Casablanca_57874437.htm, Abdelmoumen,72.22222222222223,5,False,False
Coquet appart meublé à Californie,5500,Casablanca,70,2,2,2.0,https://www.avito.ma/fr/californie/appartements/Coquet_appart_meubl%C3%A9_%C3%A0_Californie_56296585.htm, Californie,78.57142857142857,4,False,False
Appartement meublé à louer - Ahfad Sidi Maârouf,6500,Casablanca,85,2,2,4.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_meubl%C3%A9_%C3%A0_louer___Ahfad_Sidi_Ma%C3%A2rouf_57749309.htm, Sidi Maarouf,76.47058823529412,4,False,False
Appartement à louer à Rabat Agdal,8500,Rabat,70,1,1,4.0,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_louer_%C3%A0_Rabat_Agdal_57861207.htm, Agdal,121.42857142857143,2,False,False
Appartement meublé à louer - Les Perles de Tamaris,6500,Tamaris,87,2,1,0.0,https://www.avito.ma/fr/tamaris/appartements/Appartement_meubl%C3%A9_%C3%A0_louer___Les_Perles_de_Tamaris_57746147.htm, Toute la ville,74.71264367816092,3,False,False
EXCEPTIONNEL - Vue Panoramique Bd. Moulay Youssef,7200,Casablanca,65,2,1,2.0,https://www.avito.ma/fr/bourgogne/appartements/EXCEPTIONNEL___Vue_Panoramique_Bd__Moulay_Youssef_57874377.htm, Bourgogne,110.76923076923077,3,False,False
Appartement Haut Standing à louer 105 m² à CFC,15000,Casablanca,105,2,2,7.0,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_Haut_Standing_%C3%A0_louer_105_m%C2%B2_%C3%A0_CFC_57675240.htm, Casablanca Finance City,142.85714285714286,4,False,False
Appartement à louer à Sidi Maârouf résidence el madina,5500,Casablanca,85,2,1,0.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_louer_%C3%A0_Sidi_Ma%C3%A2rouf_r%C3%A9sidence_el_madina_57820491.htm, Sidi Maarouf,64.70588235294117,3,False,False
"Complexe Al Mouda, quartier El Hassani, proche de la route de Rabat",5000,Tanger,85,3,2,2.0,https://www.avito.ma/fr/hay_hassani/appartements/Complexe_Al_Mouda__quartier_El_Hassani__proche_de_la_route_de_Rabat_57874369.htm, Hay Hassani,58.8235294117647,5,False,False
Bel appartement ensoleillé,5500,Rabat,89,3,1,3.0,https://www.avito.ma/fr/k%C3%A9bibat/appartements/Bel_appartement_ensoleill%C3%A9_57874347.htm, Kébibat,61.79775280898876,4,False,False
Appartement avec piscine à Sidi Maarouf 3 ch,7000,Casablanca,130,3,2,3.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_avec_piscine_%C3%A0_Sidi_Maarouf_3_ch_57851052.htm, Sidi Maarouf,53.84615384615385,5,False,False
Vivez les vacances toute l'année,7000,El Mansouria,129,3,2,0.0,https://www.avito.ma/fr/el_mansouria/appartements/Vivez_les_vacances_toute_l_ann%C3%A9e_56468116.htm, Toute la ville,54.263565891472865,5,False,False
Appartement terrasse meublé Les Princesses,7000,Casablanca,120,2,2,0.0,https://www.avito.ma/fr/les_princesses/appartements/Appartement_terrasse_meubl%C3%A9_Les_Princesses_56542695.htm, Les Princesses,58.333333333333336,4,False,False
Appartement vue mer sur la corniche à louer,12500,Tanger,120,2,2,3.0,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_vue_mer_sur_la_corniche_%C3%A0_louer_54860495.htm, De La Plage,104.16666666666667,4,False,False
Studio Neuf Proche Tram Anoual,5500,Casablanca,50,1,1,0.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_Neuf_Proche_Tram_Anoual_57874249.htm, Quartier des Hôpitaux,110.0,2,False,False
À louer Splendide Appartement 3 CH à Palmier,10000,Casablanca,143,3,3,3.0,https://www.avito.ma/fr/palmier/appartements/%C3%80_louer_Splendide_Appartement_3_CH_%C3%A0_Palmier_57683594.htm, Palmier,69.93006993006993,6,False,False
Un appartement en location meublé à Agdal,9500,Rabat,110,2,1,5.0,https://www.avito.ma/fr/agdal/appartements/Un_appartement_en_location_meubl%C3%A9_%C3%A0_Agdal_57531913.htm, Agdal,86.36363636363636,3,False,False
Deux magnifiques appartements à clé blanche,25000,Rabat,150,3,2,3.0,https://www.avito.ma/fr/souissi/appartements/Deux_magnifiques_appartements_%C3%A0_cl%C3%A9_blanche_57565813.htm, Souissi,166.66666666666666,5,False,True
Appartement meublé à louer 90 m² à Hay Riad Rabat,15000,Rabat,90,2,1,3.0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_90_m%C2%B2_%C3%A0_Hay_Riad_Rabat_57782269.htm, Hay Riad,166.66666666666666,3,False,False
Appartement meublé de 200m a Agdal,12000,Rabat,200,3,2,3.0,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_de_200m_a_Agdal_56512757.htm, Agdal,60.0,5,False,False
